DOE_SCHOOL_CODE	SCHOOL_NAME	RFS_BUSHFIRE_CATEGORY
4206	Biddabah Public School	Category 1
4208	Fennell Bay Public School	Category 1
4214	Narrandera East Infants School	Category 1
4218	Gosford East Public School	Buffer
4221	Loftus Public School	Category 2
4230	Laguna Street Public School	Buffer
4246	Illaroo Road Public School	Buffer
4257	Ryde East Public School	Buffer
4270	Khancoban Public School	Category 1
4274	Hornsby Heights Public School	Category 1
4276	Thornleigh West Public School	Buffer
4277	Campbelltown East Public School	Category 1
4281	Deniliquin North Public School	Category 1
4286	Camden South Public School	Buffer
4293	St Ives North Public School	Category 1
4298	Yarrawarrah Public School	Category 1
4311	Bardia Public School	Buffer
4313	Blaxland East Public School	Category 1
4318	Hillsborough Public School	Category 1
4320	Gwandalan Public School	Category 1
4324	Charlestown South Public School	Category 2
4327	Marayong South Public School	Category 1
4331	St Ives Public School	Buffer
4348	Coleambally Central School	Category 2
4354	Faulconbridge Public School	Category 2
4357	Pleasant Heights Public School	Category 1
4359	Bilgola Plateau Public School	Category 1
4365	Hornsby North Public School	Category 1
4367	Caves Beach Public School	Category 1
4370	Belair Public School	Category 1
4374	Talbingo Public School	Buffer
4379	Floraville Public School	Category 1
4397	Wyoming Public School	Category 1
4398	Chertsey Public School	Buffer
4400	St Ives Park Public School	Buffer
4404	Narranga Public School	Buffer
4411	Westport Public School	Category 2
4416	Merewether Heights Public School	Category 1
4421	Gillwinga Public School	Buffer
4423	Mount Brown Public School	Buffer
4424	Lapstone Public School	Category 1
4426	Killarney Vale Public School	Buffer
4427	Niagara Park Public School	Category 1
4428	Southern Cross School	Category 2
4431	Marton Public School	Buffer
4432	Mimosa Public School	Category 2
4433	Wideview Public School	Buffer
4435	Mount Riverview Public School	Category 1
4436	Winmalee Public School	Category 1
4442	Emu Heights Public School	Buffer
4454	Marra Creek Public School	Category 1
4462	Figtree Heights Public School	Buffer
4464	Sanctuary Point Public School	Category 2
4469	Jewells Public School	Category 2
4473	Werrington Public School	Buffer
4483	Grose View Public School	Category 1
4489	Ruse Public School	Buffer
4500	Nareena Hills Public School	Category 1
4503	Tyalla Public School	Buffer
4506	Toormina Public School	Category 1
4507	Bonnet Bay Public School	Category 1
4522	Wamberal Public School	Category 1
4524	Hastings Public School	Category 2
4526	Matthew Pearce Public School	Category 1
4534	Orama Public School	Buffer
4535	Blairmount Public School	Category 2
4542	Chittaway Bay Public School	Category 2
4547	Tanilba Bay Public School	Category 1
4548	Copacabana Public School	Category 1
4552	Manning Gardens Public School	Category 1
4556	Wytaliba Public School	Category 1
4557	Sandy Beach Public School	Category 1
4562	Sunshine Bay Public School	Buffer
4564	Wirreanda Public School	Category 1
4568	Ellison Public School	Category 1
4573	Tharawal Public School	Buffer
4574	Samuel Gilbert Public School	Category 1
4575	Wingham Brush Public School	Category 1
4581	Frank Partridge VC Public School	Category 1
4588	Northlakes Public School	Buffer
4592	Vincentia Public School	Category 1
4601	Aldavilla Public School	Buffer
4602	William Bayldon Public School	Category 1
4603	St Helens Park Public School	Category 2
4605	Alfords Point Public School	Category 2
4606	Mullaway Public School	Category 1
4611	Hallidays Point Public School	Category 1
4612	Broulee Public School	Category 1
4614	Windsor Park Public School	Category 1
